,0
976,1.942673452659527e-15
977,2.6339607578362845e-15
978,-1.3316171082466965e-15
979,-7.99707522425308e-15
980,-1.631507429156187e-15
981,-4.021956379052227e-15
982,1.1622647289044608e-15
983,-2.009243466050137e-15
984,6.158268339717665e-16
985,-1.6946079955948434e-16
986,-3.652026597800173e-15
987,-1.70534159710245e-15
988,-8.04347907723546e-15
989,3.706236706424448e-15
990,-5.996939056451822e-15
991,1.1061030563697116e-15
992,-9.90743945217254e-16
993,-7.032135290740982e-15
994,3.4228262585367375e-16
995,2.824563499759236e-15
996,1.571008947931496e-15
997,5.3202342704949945e-15
998,-5.377642775528102e-17
999,2.7803280511218276e-15
1000,2.5088438271314573e-15
1001,7.897328624384414e-16
1002,-1.311017266969472e-15
1003,1.531422016108619e-15
